"pid","description","tid"
"137","Allelic disorder to progressive familial intrahepatic cholestasis-1 (PFIC1,","73"
"138","Allelic disorder to intrahepatic cholestasis of pregnancy (ICP,","73"
"139","Short stature","2"
"140","Height in childhood <5th percentile","2"
"141","Weight in childhood <5th percentile","3"
"142","Postnatal growth retardation","4"
"143","Metopic ridging","6"
"144","Trigonocephaly","6"
"145","Microcephaly","6"
"146","Long philtrum","7"
"147","Prominent/full/wide cheeks","7"
"148","Pointed chin","7"
"149","Retrognathia (in some patients)","7"
"150","Low-set ears","8"
"151","Overfolded helices","8"
"152","Abnormally shaped ears","8"
"153","Hearing loss, sensorineural (in some patients)","8"
"154","Ptosis","9"
"155","Hypertelorism","9"
"156","Prominent epicanthal folds","9"
"157","Iris coloboma (in some patients)","9"
"158","Chorioretinal coloboma","9"
"159","Microphthalmia (rare)","9"
"160","Arched eyebrows (rare)","9"
"161","Long palpebral fissures","9"
"162","Broad nasal bridge","10"
"163","Short nose","10"
"164","Upturned nose","10"
"165","Large, squared nose tip","10"
"166","Prominent nasal root on profile","10"
"167","Thin upper lip","11"
"168","Large mouth","11"
"169","Thick/prominent/everted lower lip","11"
"170","Cleft lip/palate (in some patients)","11"
"171","Bicuspid aortic valve","15"
"172","Aortic stenosis","15"
"173","Patent ductus arteriosus","16"
"174","Small penis","35"
"175","Cryptorchidism","37"
"176","Kyphosis/scoliosis (in some patients)","44"
"177","Pectus (in some patients)","44"
"178","Limited extension of knees and elbows (in some patients)","46"
"179","Duplicated hallux (rare)","48"
"180","Low posterior hair line","54"
"181","Developmental delay","57"
"182","Intellectual disability","57"
"183","Hypotonia","57"
"184","Seizures","57"
"185","Agenesis of corpus callosum","57"
"186","Focal pachygyria","57"
"187","Lissencephaly","57"
"188","Band heterotopias (in some patients)","57"
"189","Enlarged ventricles (in some patients)","57"
"190","Spasticity of lower limbs (in some patients)","57"
"191","Chromosome inversion - inv2(p12q14) in 2 patients","72"
"192","Feeding refusal, especially aversion to protein","33"
"193","Vomiting","33"
"194","Lethargy","57"
"195","Coma","57"
"196","Cerebellar hemorrhage (rare)","57"
"197","Metabolic acidosis","61"
"198","Ketoacidosis","61"
"199","Dehydration","61"
"200","Leukopenia","63"
"201","Pancytopenia","63"
"202","Hypoplastic bone marrow","63"
"203","Isovalericacidemia","72"
"204","Isovalericaciduria","72"
"205","Isovalerylglycinuria","72"
"206","Deficiency of mitochondrial isovaleryl-CoA dehydrogenase in fibroblasts","72"
"207","Approximately 50% of cases are acute, severe neonatal illness often with rapid death and 50% are chronic episodic with asymptomatic intervals","73"
"208","Odor of 'sweaty feet'","73"
"209","Micrognathia","7"
"210","Microphthalmia","9"
"211","Microcornea","9"
"212","Anterior chamber defects","9"
"213","Sclerocornea","9"
"214","Iris coloboma","9"
"215","Optic nerve hypoplasia","9"
"216","Peters anomaly","9"
"217","Tortuous retinal vessels","9"
"218","Cataracts","9"
"219","Deep-set eyes","9"
"220","High nasal bridge","10"
"221","Short columella","10"
"222","Wide mouth","11"
"223","Cleft palate","11"
"224","Persistent foramen ovale","15"
"225","Myopathic changes","15"
"226","Hypoplastic muscular tissue","15"
"227","Small cardiomyocytes with little cytoplasm","15"
"228","Accessory spleen (1 patient)","32"
"229","Duodenal atresia","33"
"230","Jejunal atresia","33"
"231","Intestinal atresia","33"
"232","Intestinal malrotation","33"
"233","Renal hypodysplasia","39"
"234","Hydronephrosis","39"
"235","Polydactyly, preaxial (1 patient)","47"
"236","Learning disabilities (in some patients)","57"
"237","Hydrocephalus","57"
"238","Agenesis of the corpus callosum","57"
"239","Cerebellar hypoplasia","57"
"240","Onset in utero","73"
"241","Early childhood lethality may occur","73"
"242","Highly variable phenotype","73"
"243","Recurrent sinopulmonary infections","17"
"244","Asthma","20"
"245","Eczema, severe","50"
"246","Atopic dermatitis","50"
"247","Skin abscesses, recurrent","50"
"248","Increased neurologic sequelae of infections (rare)","57"
"249","Hemiplegia (rare)","57"
"250","Ischemic infarction (rare)","57"
"251","Subarachnoid hemorrhage (rare)","57"
"252","Recurrent bacterial infections","64"
"253","Recurrent viral infections","64"
"254","Recurrent fungal infections","64"
"255","Impaired T cell immunity","64"
"256","Impaired T cell proliferation and activation","64"
"257","Food allergies","64"
"258","Environmental allergies","64"
"259","Increased susceptibility to carcinomas, especially cancers related to cutaneous viral infections","65"
"260","Increased serum IgE","72"
"261","Eosinophilia","72"
"262","Decreased T cells","72"
"263","Decreased B cells","72"
"264","Decreased natural killer cells","72"
"265","Decreased serum IgM","72"
"266","Onset in infancy","73"
"267","Early death may occur due to infection","73"
"268","Distinct disorder from autosomal dominant hyper IgE syndrome ","73"
"269","Low birth weight","3"
"270","Failure to thrive","4"
"271","Midline skin dimples over anterior/posterior fontanelles","6"
"272","Hearing loss, sensorineural","8"
"273","Cystic dilatation of cochlea and vestibulum","8"
"274","Strabismus","9"
"275","Cutaneolacrimal fistulae","9"
"276","Lacrimal puncta aplasia","9"
"277","Hypoplastic alae nasi","10"
"278","Beaked nose","10"
"279","Hypoplastic deciduous teeth","12"
"280","Absent permanent teeth","12"
"281","Atrial septal defect","15"
"282","Ventricular septal defect","15"
"283","Dilated cardiomyopathy (rare)","15"
"284","Situs inversus","15"
"285","Small nipples","25"
"286","Absent areolae","25"
"287","Liver failure (1 patient)","29"
"288","Giant cell hepatocytes (1 patient)","29"
"289","Cholestasis (1 patient)","29"
"290","Fibrosis (1 patient)","29"
"291","Exocrine pancreatic insufficiency","30"
"292","Imperforate anus","33"
"293","Anteriorly placed anus","33"
"294","Micropenis","35"
"295","Hypospadias","35"
"296","Clitoromegaly","36"
"297","Double vagina","38"
"298","Septate vagina","38"
"299","Urethrovaginal fistulae","38"
"300","Calicectasis","39"
"301","Delayed bone age","42"
"302","Joint laxity","42"
"303","Fifth finger clinodactyly","47"
"304","Transverse palmar crease","47"
"305","Cafe-au-lait spots","50"
"306","Scalp aplasia cutis congenita","50"
"307","Transverse palmar crease","50"
"308","Blonde, sparse scalp hair","54"
"309","Frontal upsweep","54"
"310","Extension of lateral hairline onto forehead","54"
"311","'Unruly' scalp hair","54"
"312","Anasarca","55"
"313","Edema (hands and feet)","55"
"314","Mental retardation (2/3 patients)","57"
"315","Hypothyroidism (30% patients)","62"
"316","Diabetes mellitus","62"
"317","Low total serum protein","72"
"318","Hypocalcemia","72"
"319","Death in childhood secondary to malabsorption","73"
"320","Incidence of 1 in 250,000 births","73"
"321","Hearing loss (rare)","8"
"322","Hyposmia/anosmia (in some patients)","10"
"323","Pectus excavatum","23"
"324","Delayed or absent thelarche","25"
"325","Cryptorchidism","35"
"326","Primary amenorrhea","38"
"327","Hyperlaxity of digits (rare)","47"
"328","Pes planus","48"
"329","Fibrous dysplasia (rare)","55"
"330","Synkinesia","57"
"331","Seizures (rare)","57"
"332","Hypogonadotropic hypogonadism","62"
"333","Delayed or absent puberty","62"
"334","Low to undetectable gonadotropin levels","62"
"335","Low testosterone level","62"
"336","Low estradiol level","62"
"337","Incomplete penetrance","73"
"338","Some patients experience later reversal of hypogonadotropic hypogonadism","73"
"339","Phenotype may be oligogenic in some patients who carry mutations in more than one HH-associated gene","73"
"340","Poorly aerated mastoids","6"
"341","Absence of frontal sinuses","6"
"342","Chronic sinusitis","6"
"343","Conductive deafness","8"
"344","Chronic otitis media","8"
"345","Corneal abnormalities","9"
"346","Rhinitis","10"
"347","Nasal polyps","10"
"348","Dextrocardia","15"
"349","Bronchiectasis","20"
"350","Absent or abnormal dynein arms of sperm and respiratory epithelial cilia by electron microscopy","20"
"351","Pneumonia","21"
"352","Situs inversus","27"
"353","Asplenia","32"
"354","Immotile sperm","37"
"355","Absent or abnormal dynein arms of sperm and respiratory epithelial cilia by electron microscopy","37"
"356","Infertility","37"
"357","Headaches","57"
"358","Communicating hydrocephalus","57"
"359","Immotile cilia","72"
"360","Genetic heterogeneity","73"
"361","Approximately 50% of patients have situs inversus","73"
"362","Brachycephaly","6"
"363","Flat philtrum","7"
"364","Long face","7"
"365","Narrow face","7"
"366","Preauricular tags","8"
"367","Blepharophimosis","9"
"368","Upslanting palpebral fissures","9"
"369","Telecanthus","9"
"370","Epicanthal folds","9"
"371","Sparse eyebrows","9"
"372","Nystagmus","9"
"373","Pale optic disc","9"
"374","High-arched palate","11"
"375","Diastema","12"
"376","Caries","12"
"377","Neonatal respiratory distress","17"
"378","Laryngeal stridor","19"
"379","Bell-shaped chest","23"
"380","Severe constipation","33"
"381","Ovoid vertebrae","44"
"382","Long, thin hands","47"
"383","Transverse palmar creases","47"
"384","Long, thin feet","48"
"385","Metatarsus varus","48"
"386","Sparse eyebrows","54"
"387","Mental retardation","57"
"388","Short stature, proportionate","2"
"389","Birth length <3rd percentile","2"
"390","Birth weight <2,500gm","3"
"391","Intrauterine growth failure","4"
"392","Delayed anterior fontanelle closure","6"
"393","Broad cheeks","7"
"394","Dental caries","12"
"395","Thin, long clavicles","24"
"396","Thin ribs","24"
"397","Poorly ossified skull bones","43"
"398","Absent diploic space","43"
"399","Calvarial osteosclerosis","43"
"400","Medullary stenosis of tubular bones","46"
"401","Thin long bones","46"
"402","Internal cortical thickening","46"
"403","Small hands","47"
"404","Small feet","48"
"405","Tetany","57"
"406","Hypocalcemic seizure","57"
"407","Neonatal hypoparathyroidism","62"
"408","Low parathyroid hormone","62"
"409","Low to low-normal magnesium","72"
"410","Allelic to hypoparathyroidism-retardation-dysmorphism syndrome ","73"
"411","Severe, early-onset periodontitis","11"
"412","Premature tooth loss (both primary and secondary dentition)","12"
"413","Atrophy of alveolar ridges","12"
"414","Hyperkeratosis of palms and soles","50"
"415","Dural and choroid plexus calcifications","57"
"416","Severe, early-onset periodontitis","12"
"417","Alveolar bone destruction","12"
"418","Premature tooth","12"
"419","Arachnodactyly","47"
"420","Acroosteolysis","47"
"421","Tapered, pointed distal phalanges","47"
"422","Claw-like volar curve","47"
"423","Congenital palmoplantar keratosis","50"
"424","Recurrent pyogenic skin infections","50"
"425","Onychogryposis","53"
"426","All cases occur in a Jewish religious isolate originally from Cochin, India","73"
"427","Allelic to Papillon-Lefevre syndrome ","73"
"428","Skin manifestations are more severe and of later onset than Papillon-Lefevre syndrome","73"
"429","Periodontium is less severely affected than in Papillon-Lefevre syndrome","73"
"430","Stature below 25th percentile","2"
"431","Deep philtrum","7"
"432","Midface hypoplasia, mild","7"
"433","Hearing loss (sensorineural, mixed, and conductive)","8"
"434","Large, prominent pinnae","8"
"435","Pale, stiff pinnae","8"
"436","Progressive cartilaginous ossification of pinnae","8"
"437","Recurrent episodes of otitis media","8"
"438","Small alae nasi","10"
"439","Cartilaginous ossification of nose","10"
"440","Pulmonary artery hypoplasia","16"
"441","Peripheral pulmonary stenosis","16"
"442","Chronic sinusitis","18"
"443","Cartilaginous ossification of larynx","19"
"444","Cartilaginous ossification of trachea and bronchi","20"
"445","Recurrent bronchitis","20"
"446","Cartilaginous ossification of rib","24"
"447","Abnormal cartilage ossification (nose, pinnae, larynx, epiglottis, trachea, bronchial rings, costochondral junctions)","42"
"448","Epiphyseal stippling (infancy)","46"
"449","Variable shortening of terminal phalanges (brachytelephalangy)","47"
"450","Premature fusion of phalangeal epiphyses","47"
"451","Short thumbs","47"
"452","Interdigital webbing, mild","47"
"453","Short halluces","48"
"454","Mental retardation, mild","57"
"455","Cerebral calcifications","57"
"456","Nasal speech","60"
"457","Increased risk of spontaneous abortion","71"
"458","Deafness","8"
"459","Abnormal brainstem auditory evoked potentials (BAEP)","8"
"460","Blindness","9"
"461","Optic atrophy","9"
"462","Abnormal flash visual evoked potentials (VEP)","9"
"463","Hyperirritability","57"
"464","Hypersensitive to stimuli","57"
"465","Mental deterioration","57"
"466","Neurodegeneration","57"
"467","Developmental regression","57"
"468","Progressive spasticity","57"
"469","Hyperactive deep tendon reflexes in early stage","57"
"470","Decerebrate posturing","57"
"471","Hypertonia in early stage","57"
"472","Hypotonia in later stages","57"
"473","Diffuse cerebral atrophy on CT and MRI","57"
"474","Motor deterioration","57"
"475","Abnormal EEG","57"
"476","'Globoid multinucleated cells' in brain tissue","57"
"477","Loss of myelin and oligodendroglia","57"
"478","Demyelination","57"
"479","Sensorimotor peripheral neuropathy","58"
"480","Diffuse demyelinating neuropathy","58"
"481","Decreased nerve conduction velocities","58"
"482","Elevated cerebrospinal fluid (CSF) protein","72"
"483","Galactocerebroside beta-galactosidase deficiency in serum, leukocytes, and fibroblasts","72"
"484","Episodic fever","73"
"485","Four clinical forms of Krabbe disease","73"
"486","Infantile form has onset within first 6 months of life","73"
"487","Infantile form accounts for 90% of cases","73"
"488","Infantile form usually leads to death by age 2 years","73"
"489","Late infantile form has onset between 19 months and 4 years","73"
"490","Juvenile form has onset between 4 and 19 years","73"
"491","Adult form onset has after 20 years","73"
"492","Incidence of 1 in 100,000","73"
"493","Exercise-induced muscle cramping","55"
"494","Exercise-induced muscle stiffness","55"
"495","Exercise-induced muscle fatigue","55"
"496","Symptoms may be induced by heat","55"
"497","Decreased lactate clearance from muscle after exercise (reported in 1 patient)","55"
"498","Normal muscle biopsy","55"
"499","Normal EMG","55"
"500","Increased serum creatine kinase","72"
"501","Decreased erythrocyte lactate clearance (transport), 40 to 50% of normal values","72"
"502","Mild phenotype","73"
"503","Mildly progressive","73"
"504","Symptoms are not apparent at rest","73"
"505","Saccade initiation failure","9"
"506","Oculomotor apraxia","9"
"507","Psychomotor retardation","57"
"508","Hypotonia, neonatal","57"
"509","Ataxia","57"
"510","Gross motor delay","57"
"511","Fine motor delay","57"
"512","Drooling","57"
"513","Poor speech","57"
"514","Dystonia, episodic","57"
"515","Jerky head movements","57"
"516","Hyperreflexia","57"
"517","Choreoathetoid movements","57"
"518","MRI shows globus pallidus signal abnormalities","57"
"519","Lactic acidosis, may be mild","61"
"520","Serum and CSF lactate may be increased","72"
"521","Decreased activity of the pyruvate dehydrogenase complex (PDH)","72"
"522","Decreased activity of the E2 subunit (lipoyl transacetylase,","72"
"523","Decreased levels of the E2 subunit protein","72"
"524","Very rare","73"
"525","Frontal metopic ridge","6"
"526","Abnormal ocular movements","9"
"527","High palate","11"
"528","Pectus excavatum (1 patient)","23"
"529","Psychomotor delay","57"
"530","Pyramidal hypertonia","57"
"531","Spastic paraplegia","57"
"532","Spastic quadriplegia","57"
"533","Unsteady gait","57"
"534","Poor fine and gross motor coordination","57"
"535","Dystonia","57"
"536","Basal ganglia lucencies","57"
"537","Subependymal cysts","57"
"538","Corpus callosum agenesis, partial","57"
"539","Lactic acidosis","61"
"540","Lacticacidemia","72"
"541","Increased serum pyruvate","72"
"542","Increased serum alanine","72"
"543","Decreased activity of the pyruvate dehydrogenase (PDH) complex","72"
"544","Decreased levels of component X protein of the PDH complex","72"
"545","Onset at birth or in early childhood","73"
"546","Variable severity","73"
"547","Phenotypic similarities to Leigh syndrome ","73"
"548","Patients may or may not have dysmorphic features","73"
"549","Poor growth","4"
"550","Hearing impairment (rare)","8"
"551","Respiratory insufficiency","17"
"552","Respiratory failure","17"
"553","Feeding difficulties","33"
"554","Hyperhidrosis","50"
"555","Hypotonia, axial, severe","55"
"556","Inability to sit or hold head up","55"
"557","Muscle atrophy","55"
"558","Cox-negative fibers seen on muscle biopsy","55"
"559","Ragged red fibers","55"
"560","Decreased activity and protein levels of respiratory chain complexes I, II, III, and IV","55"
"561","Mitochondrial DNA depletion","55"
"562","Delayed psychomotor development, severe","57"
"563","Mental retardation, severe","57"
"564","Cerebral atrophy","57"
"565","Widening of the ventricles","57"
"566","Brain MRI shows lesions in the basal ganglia","57"
"567","Hypoglycemia","61"
"568","Methylmalonic aciduria","72"
"569","Increased lactate in spinal fluid","72"
"570","Severe disorder","73"
"571","Death usually in infancy","73"
"572","Variable phenotype","73"
"573","Delayed cognitive development (in some patients)","57"
"574","Mental retardation (in some patients)","57"
"575","Learning difficulties","57"
"576","Seizures, focal","57"
"577","Rolandic epilepsy","57"
"578","Speech and language difficulties","57"
"579","Verbal dyspraxia","57"
"580","Dysphasia","57"
"581","Secondary seizures (in some patients)","57"
"582","Other seizure types (in some patients)","57"
"583","EEG shows centrotemporal spike-wave discharges","57"
"584","Continuous spike-waves during slow-wave sleep","57"
"585","Autistic features","59"
"586","Attention deficit","59"
"587","Onset of seizures in infancy or early childhood","73"
"588","Seizures may remit in adolescence","73"
"589","Highly variable severity","73"
"590","Midface hypoplasia","7"
"591","Prominent forehead","7"
"592","Micrognathia (in some patients)","7"
"593","Microretrognathia (in some patients)","7"
"594","Flat face (in one patient)","7"
"595","Dysmorphic ears","8"
"596","Small ears","8"
"597","Prominent antitragus (in some patients)","8"
"598","Uplift of earlobes (in some patients)","8"
"599","Large eyes","9"
"600","Protuberant eyes","9"
"601","Hypertelorism (in some patients)","9"
"602","Downslanting palpebral fissures","9"
"603","Blue sclerae (in some patients)","9"
"604","Hyperopia","9"
"605","Esotropia","9"
"606","Amblyopia","9"
"607","Thick eyebrows (in some patients)","9"
"608","Small mouth","11"
"609","Cleft palate (rare)","11"
"610","Small teeth","12"
"611","Extensive caries","12"
"612","Webbed neck (in some patients)","13"
"613","Low posterior hairline","13"
"614","Cardiomegaly","15"
"615","Left ventricular hypertrophy","15"
"616","Mitral valve prolapse","15"
"617","Patent foramen ovale","15"
"618","Aortic root dilatation","16"
"619","Pulmonary artery dilation, mild (in one patient)","16"
"620","Restrictive lung disease secondary to small thorax (rare)","21"
"621","Pectus carinatum (in some patients)","23"
"622","Narrow chest","23"
"623","Chest asymmetry, mild","23"
"624","Gracile ribs (in one patient)","24"
"625","11 pairs of ribs (rare)","24"
"626","Protrusion of abdomen (in some patients)","28"
"627","Inguinal hernia (in some patients)","28"
"628","Diaphragmatic hernia (in some patients)","28"
"629","Hyperextensibility of large joints","42"
"630","Generalized osteoporosis (in some patients)","42"
"631","Early bone maturation (in some patients)","42"
"632","Dissociated bone age (in some patients)","42"
"633","Multiple fractures (rare)","42"
"634","Scoliosis","44"
"635","Osteopenia evident in childhood","44"
"636","Atlanto-axial instability (in one patient)","44"
"637","Atlanto-occipital instability (in one patient)","44"
"638","Hip dislocation","45"
"639","Mild dysplasia of hip joints","45"
"640","Dysmorphic appearance of femoral head (in one patient)","45"
"641","Gibbus deformity at L1 level (in one patient)","45"
"642","Shoulder dislocation (in some patients)","46"
"643","Elbow dislocation, bilateral","46"
"644","Elbow contracture","46"
"645","Rhizomelic shortening (in some patients)","46"
"646","Radioulnar synostosis (in some patients)","46"
"647","Knee dislocation, bilateral","46"
"648","Diaphyseal incurving (in some patients)","46"
"649","Dysplasia of proximal humerus (in one patient)","46"
"650","Dysplasia of glenoid (in one patient)","46"
"651","Dysplasia of distal humerus (in one patient)","46"
"652","Dysplasia of radial head (in one patient)","46"
"653","Bowing of the radius and ulna (in one patient)","46"
"654","Genu valgum (in one patient)","46"
"655","Flared epiphyses (in one patient)","46"
"656","Wrist joint laxity","47"
"657","Wrist joint dislocation (in some patients)","47"
"658","Interphalangeal joint laxity","47"
"659","Increased number of carpal ossification centers","47"
"660","Metacarpal shortening","47"
"661","Broad ends of fingers ('pseudoclubbing')","47"
"662","Spatulate thumb","47"
"663","Metacarpophalangeal joint hyperextensibility (in one patient)","47"
"664","Broad ends of toes","48"
"665","Talipes equinovarus","48"
"666","Talipes equinovalgus","48"
"667","Sandal gap (in one patient)","48"
"668","Hyperextensible skin (in some patients)","50"
"669","Excessive skin wrinkling of palms and soles (in one patient)","50"
"670","Thick eyebrows","54"
"671","Low posterior hairline","54"
"672","Hypotonia, generalized (in some patients)","55"
"673","Hydrocephalus (rare)","57"
"674","Arrested hydrocephalus (rare)","57"
"675","Verbal delay (in some patients)","57"
"676","Motor delay (in one patient)","57"
"677","Generalized cortical atrophy (in one patient)","57"
"678","No obesity","3"
"679","Pigmentary retinopathy","9"
"680","Choroidal atrophy","9"
"681","Hypoplastic scrotum","35"
"682","No polydactyly","47"
"683","Mutation in PNPLA6 identified in 1 Laurence-Moon syndrome family (last curated March 2015)","73"
"684","Corneal lipid deposits","9"
"685","Normochromic anemia","63"
"686","Hemolytic anemia","63"
"687","Decreased plasma esterified cholesterol","72"
"688","Decreased apoA-I and apoA-II","72"
"689","Decreased plasma HDL (<1/10 of normal levels)","72"
"690","Increased plasma free cholesterol","72"
"691","Increased plasma triglycerides","72"
"692","Increased plasma phospholipids","72"
"693","Decreased lecithin:cholesterol acyltransferase mass and activity","72"
"694","Foam cells in bone marrow and renal glomeruli","72"
"695","Prenatal growth retardation","4"
"696","Severe failure to thrive","4"
"697","Elfin facies","7"
"698","Small face","7"
"699","Large ears","8"
"700","Prominent eyes","9"
"701","Wide nostrils","10"
"702","Thick lips","11"
"703","Gingival hyperplasia","11"
"704","Breast hyperplasia (female)","25"
"705","Prominent nipples","25"
"706","Abdominal distention","28"
"707","Cholestasis","29"
"708","Hepatic fibrosis","29"
"709","Islets of Langerhans hyperplasia","30"
"710","Large penis","35"
"711","Large clitoris","36"
"712","Leydig cell hyperplasia","37"
"713","Cystic ovaries","38"
"714","Large hands","47"
"715","Large feet","48"
"716","Acanthosis nigricans","50"
"717","Pachyderma","50"
"718","Hyperkeratosis","50"
"719","Dysplastic nails","53"
"720","Hypertrichosis (body, face)","54"
"721","Marked lack of adipose tissue","55"
"722","Muscle wasting","55"
"723","Hyperinsulinemia","62"
"724","Precocious puberty","62"
"725","Frequent infections","64"
"726","Decreased lymphatic tissue (tonsil, thymus, mesenteric nodes, Peyer patches)","64"
"727","Juvenile ovarian granulosa cell tumor","65"
"728","Elevated plasma insulin","72"
"729","Absent anti-insulin receptor antibodies","72"
"730","Postprandial hyperglycemia","72"
"731","Fasting hypoglycemia","72"
"732","Death often in early infancy","73"
"733","Susceptibility to infection by Mycobacterium leprae causing leprosy","64"
"734","See","73"
"735","Growth retardation","4"
"736","Fat malabsorption","33"
"737","Severe diarrhea","33"
"738","Steatorrhea","33"
"739","Malnutrition","33"
"740","Jejunal endoscopy shows white epithelium","33"
"741","Small bowel enterocytes accumulate lipid droplets in membrane-bound compartments or in the cytoplasm","33"
"742","Neurologic deficits may occur secondarily to malabsorption","58"
"743","Peripheral neuropathy","58"
"744","Diminished or absent deep tendon reflexes","58"
"745","Diminished vibratory sense","58"
"746","Hypocholesterolemia","72"
"747","Deficiency of fat-soluble vitamins","72"
"748","Normal serum triglycerides","72"
"749","Absence of chylomicrons in lymph and plasma","72"
"750","Defect in chylomicron secretion","72"
"751","Hypobetalipoproteinemia","72"
