"mimnumber","full_name","short_name"
"116920","LEUKOCYTE ADHESION DEFICIENCY, TYPE I","LAD"
"117000","CENTRAL CORE DISEASE OF MUSCLE","CCD"
"117210","SPINOCEREBELLAR ATAXIA 31","SCA31"
"117360","SPINOCEREBELLAR ATAXIA 29","SCA29"
"117550","SOTOS SYNDROME 1","SOTOS1"
"117650","CEREBROCOSTOMANDIBULAR SYNDROME","CCMS"
"118100","KLIPPEL-FEIL SYNDROME 1, AUTOSOMAL DOMINANT","KFS1"
"118200","CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1B","CMT1B"
"118210","CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2A1","CMT2A1"
"118220","CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1A","CMT1A"
"118300","CHARCOT-MARIE-TOOTH DISEASE AND DEAFNESS","null"
"118400","CHERUBISM","null"
"118450","ALAGILLE SYNDROME 1","ALGS1"
"118600","CHONDROCALCINOSIS 2","CCAL2"
"118700","CHOREA, BENIGN HEREDITARY","BHC"
"118800","PAROXYSMAL NONKINESIGENIC DYSKINESIA 1","PNKD1"
"119300","VAN DER WOUDE SYNDROME 1","VWS1"
"119500","POPLITEAL PTERYGIUM SYNDROME","PPS"
"119600","CLEIDOCRANIAL DYSPLASIA","CCD"
"119800","CLUBFOOT, CONGENITAL, WITH OR WITHOUT DEFICIENCY OF LONG BONES AND/OR MIRROR-IMAGE POLYDACTYLY","CCF"
"119900","DIGITAL CLUBBING, ISOLATED CONGENITAL","null"
"120100","FAMILIAL COLD AUTOINFLAMMATORY SYNDROME 1","FCAS1"
"120330","PAPILLORENAL SYNDROME","PAPRS"
"120433","COLOBOMA, OCULAR, WITH OR WITHOUT HEARING IMPAIRMENT, CLEFT LIP/PALATE, AND/OR MENTAL RETARDATION","COB1"
"121050","ARTHROGRYPOSIS, DISTAL, TYPE 9","DA9"
"121200","SEIZURES, BENIGN FAMILIAL NEONATAL, 1","BFNS1"
"121201","SEIZURES, BENIGN FAMILIAL NEONATAL, 2","BFNS2"
"121300","COPROPORPHYRIA, HEREDITARY","HCP"
"121850","CORNEAL DYSTROPHY, FLECK","null"
"122000","CORNEAL DYSTROPHY, POSTERIOR POLYMORPHOUS, 1","PPCD1"
"122100","CORNEAL DYSTROPHY, MEESMANN","MECD"
"122200","CORNEAL DYSTROPHY, LATTICE TYPE I","LCD1"
"122400","EPITHELIAL RECURRENT EROSION DYSTROPHY","ERED"
"122470","CORNELIA DE LANGE SYNDROME 1","CDLS1"
"122600","SPONDYLOCOSTAL DYSOSTOSIS 5","SCDO5"
"122860","CRANIODIAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT","CDD"
"123000","CRANIOMETAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT","CMDD"
"123150","JACKSON-WEISS SYNDROME","JWS"
"123400","CREUTZFELDT-JAKOB DISEASE","CJD"
"123500","CROUZON SYNDROME","null"
"123700","CUTIS LAXA, AUTOSOMAL DOMINANT 1","ADCL1"
"123790","BEARE-STEVENSON CUTIS GYRATA SYNDROME","BSTVS"
"124000","MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 1","MC3DN1"
"124200","DARIER-WHITE DISEASE","DAR"
"124480","DEAFNESS, CONGENITAL, WITH ONYCHODYSTROPHY, AUTOSOMAL DOMINANT","DDOD"
"124500","VOHWINKEL SYNDROME","VOWNKL"
"124900","DEAFNESS, AUTOSOMAL DOMINANT 1","DFNA1"
"125250","OPTIC ATROPHY WITH OR WITHOUT DEAFNESS, OPHTHALMOPLEGIA, MYOPATHY, ATAXIA, AND NEUROPATHY","null"
"125310","CEREBRAL ARTERIOPATHY, AUTOSOMAL DOMINANT, WITH SUBCORTICAL INFARCTS AND LEUKOENCEPHALOPATHY, TYPE 1","CADASIL1"
"125350","FAILURE OF TOOTH ERUPTION, PRIMARY","PFE"
"125370","DENTATORUBRAL-PALLIDOLUYSIAN ATROPHY","DRPLA"
"125400","DENTIN DYSPLASIA, TYPE I","DTDP1"
"125420","DENTIN DYSPLASIA, TYPE II","DTDP2"
"125490","DENTINOGENESIS IMPERFECTA 1","DGI1"
"125500","DENTINOGENESIS IMPERFECTA, SHIELDS TYPE III","null"
"125595","DERMATOPATHIA PIGMENTOSA RETICULARIS","DPR"
"125630","VIBRATORY URTICARIA","VBU"
"125800","DIABETES INSIPIDUS, NEPHROGENIC, AUTOSOMAL","null"
"126200","MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO","MS"
"127000","KENNY-CAFFEY SYNDROME, TYPE 2","KCS2"
"127300","LERI-WEILL DYSCHONDROSTEOSIS","LWD"
"127400","DYSCHROMATOSIS SYMMETRICA HEREDITARIA","DSH"
"127550","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 1","DKCA1"
"127750","DEMENTIA, LEWY BODY","DLB"
"128100","DYSTONIA 1, TORSION, AUTOSOMAL DOMINANT","DYT1"
"128101","DYSTONIA 4, TORSION, AUTOSOMAL DOMINANT","DYT4"
"128200","EPISODIC KINESIGENIC DYSKINESIA 1","EKD1"
"128230","DYSTONIA, DOPA-RESPONSIVE","DRD"
"128235","DYSTONIA 12","DYT12"
"129200","BASAN SYNDROME","null"
"129400","RAPP-HODGKIN SYNDROME","RHS"
"129490","ECTODERMAL DYSPLASIA 10A, HYPOHIDROTIC/HAIR/NAIL TYPE, AUTOSOMAL DOMINANT","ECTD10A"
"129500","CLOUSTON SYNDROME","null"
"129600","ECTOPIA LENTIS 1, ISOLATED, AUTOSOMAL DOMINANT","ECTOL1"
"130000","EHLERS-DANLOS SYNDROME, CLASSIC TYPE","null"
"130050","EHLERS-DANLOS SYNDROME, TYPE IV, AUTOSOMAL DOMINANT","null"
"130060","EHLERS-DANLOS SYNDROME, TYPE VII, AUTOSOMAL DOMINANT","null"
"130070","EHLERS-DANLOS SYNDROME WITH SHORT STATURE AND LIMB ANOMALIES","EDSSLA"
"130080","EHLERS-DANLOS SYNDROME, PERIODONTAL TYPE, 1","EDSPD1"
"130600","ELLIPTOCYTOSIS 2","EL2"
"130650","BECKWITH-WIEDEMANN SYNDROME","BWS"
"130720","LATERAL MENINGOCELE SYNDROME","LMNS"
"130900","AMELOGENESIS IMPERFECTA, TYPE III","AI3"
"131100","MULTIPLE ENDOCRINE NEOPLASIA, TYPE I","MEN1"
"131300","CAMURATI-ENGELMANN DISEASE","CAEND"
"131705","TRANSIENT BULLOUS DERMOLYSIS OF THE NEWBORN","TBDN"
"131750","EPIDERMOLYSIS BULLOSA DYSTROPHICA, AUTOSOMAL DOMINANT","DDEB"
"131760","EPIDERMOLYSIS BULLOSA SIMPLEX, DOWLING-MEARA TYPE","EBSDM"
"131800","EPIDERMOLYSIS BULLOSA SIMPLEX, LOCALIZED","null"
"131850","EPIDERMOLYSIS BULLOSA DYSTROPHICA, PRETIBIAL","null"
"131900","EPIDERMOLYSIS BULLOSA SIMPLEX, GENERALIZED","null"
"131950","EPIDERMOLYSIS BULLOSA SIMPLEX, OGNA TYPE","EBSOG"
"131960","EPIDERMOLYSIS BULLOSA SIMPLEX WITH MOTTLED PIGMENTATION","EBSMP"
"132400","EPIPHYSEAL DYSPLASIA, MULTIPLE, 1","EDM1"
"132450","EPIPHYSEAL DYSPLASIA, MULTIPLE, WITH MYOPIA AND CONDUCTIVE DEAFNESS","EDMMD"
"132600","PILOMATRIXOMA","null"
"132700","CYLINDROMATOSIS, FAMILIAL","null"
"132800","MULTIPLE SELF-HEALING SQUAMOUS EPITHELIOMA, SUSCEPTIBILITY TO","MSSE"
"132900","AORTIC ANEURYSM, FAMILIAL THORACIC 4","AAT4"
"133020","ERYTHERMALGIA, PRIMARY","null"
"133100","ERYTHROCYTOSIS, FAMILIAL, 1","ECYT1"
"133190","SPINOCEREBELLAR ATAXIA 34","SCA34"
"133200","ERYTHROKERATODERMIA VARIABILIS ET PROGRESSIVA 1","EKVP1"
"133540","COCKAYNE SYNDROME B","CSB"
"133700","EXOSTOSES, MULTIPLE, TYPE I","null"
"133701","EXOSTOSES, MULTIPLE, TYPE II","null"
"133780","EXUDATIVE VITREORETINOPATHY 1","EVR1"
"134610","FAMILIAL MEDITERRANEAN FEVER, AUTOSOMAL DOMINANT","null"
"135100","FIBRODYSPLASIA OSSIFICANS PROGRESSIVA","FOP"
"135150","BIRT-HOGG-DUBE SYNDROME","BHD"
"135300","FIBROMATOSIS, GINGIVAL, 1","GINGF1"
"135400","HYPERTRICHOSIS, CONGENITAL GENERALIZED, WITH OR WITHOUT GINGIVAL HYPERPLASIA","HTC3"
"135500","ZIMMERMANN-LABAND SYNDROME 1","ZLS1"
"135700","FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 1","CFEOM1"
"135750","LAURIN-SANDROW SYNDROME","LSS"
"135900","COFFIN-SIRIS SYNDROME 1","CSS1"
"136000","ADERMATOGLYPHIA","ADERM"
"136120","FISH-EYE DISEASE","FED"
"136140","FLOATING-HARBOR SYNDROME","FLHS"
"136520","FOVEAL HYPOPLASIA 1","FVH1"
"136550","MACULAR DYSTROPHY, RETINAL, 1, NORTH CAROLINA TYPE","MCDR1"
"136630","MENTAL RETARDATION, FRA12A TYPE","null"
"136680","FRASIER SYNDROME","null"
"136760","FRONTONASAL DYSPLASIA 1","FND1"
"136800","CORNEAL DYSTROPHY, FUCHS ENDOTHELIAL, 1","FECD1"
"136880","FUNDUS ALBIPUNCTATUS","null"
"136900","SORSBY FUNDUS DYSTROPHY","SFD"
"137200","NEUROMYOTONIA AND AXONAL NEUROPATHY, AUTOSOMAL RECESSIVE","NMAN"
"137215","GASTRIC CANCER, HEREDITARY DIFFUSE","HDGC"
"137440","GERSTMANN-STRAUSSLER DISEASE","GSD"
"137550","MELANOCYTIC NEVUS SYNDROME, CONGENITAL","CMNS"
"137580","GILLES DE LA TOURETTE SYNDROME","GTS"
"137750","GLAUCOMA 1, OPEN ANGLE, A","GLC1A"
"137800","GLIOMA SUSCEPTIBILITY 1","GLM1"
"137920","RENAL CYSTS AND DIABETES SYNDROME","RCAD"
"137940","HYPOTRICHOSIS-LYMPHEDEMA-TELANGIECTASIA-RENAL DEFECT SYNDROME","HLTRS"
"138800","GOITER, MULTINODULAR 1, WITH OR WITHOUT SERTOLI-LEYDIG CELL TUMORS","MNG1"
"139090","GRAY PLATELET SYNDROME","GPS"
"139210","MYHRE SYNDROME","MYHRS"
"140000","HAND-FOOT-GENITAL SYNDROME","HFG"
"140350","HAWKINSINURIA","null"
"141200","HEMATURIA, BENIGN FAMILIAL","BFH"
"141500","MIGRAINE, FAMILIAL HEMIPLEGIC, 1","FHM1"
"141749","FETAL HEMOGLOBIN QUANTITATIVE TRAIT LOCUS 1","HBFQTL1"
"142623","HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 1","HSCR1"
"142669","BEUKES HIP DYSPLASIA","BHD"
"142680","PERIODIC FEVER, FAMILIAL, AUTOSOMAL DOMINANT","null"
"142690","ACNE INVERSA, FAMILIAL, 1","ACNINV1"
"142900","HOLT-ORAM SYNDROME","HOS"
"143095","SPONDYLOEPIPHYSEAL DYSPLASIA WITH CONGENITAL JOINT DISLOCATIONS","SEDCJD"
"143100","HUNTINGTON DISEASE","HD"
"143200","WAGNER VITREORETINOPATHY","WGVRP"
"143400","CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT 2","null"
"143470","HYPERALPHALIPOPROTEINEMIA 1","HALP1"
"143500","GILBERT SYNDROME","null"
"143860","HYPERCHLORHIDROSIS, ISOLATED","null"
"143870","HYPERCALCIURIA, ABSORPTIVE, 2","HCA2"
"143880","HYPERCALCEMIA, INFANTILE, 1","HCINF1"
"143890","HYPERCHOLESTEROLEMIA, FAMILIAL","null"
"144200","PALMOPLANTAR KERATODERMA, EPIDERMOLYTIC","EPPK"
"144750","ENDOSTEAL HYPEROSTOSIS, AUTOSOMAL DOMINANT","null"
"145000","HYPERPARATHYROIDISM 1","HRPT1"
"145001","HYPERPARATHYROIDISM 2 WITH JAW TUMORS","HRPT2"
"145250","HYPERPIGMENTATION WITH OR WITHOUT HYPOPIGMENTATION, FAMILIAL PROGRESSIVE","FPHH"
"145410","OPITZ GBBB SYNDROME, TYPE II","GBBB2"
"145500","HYPERTENSION, ESSENTIAL","null"
"145600","MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY TO, 1","MHS1"
"145900","HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS","null"
"145980","HYPOCALCIURIC HYPERCALCEMIA, FAMILIAL, TYPE I","HHC1"
"146000","HYPOCHONDROPLASIA","HCH"
"146110","HYPOGONADOTROPIC HYPOGONADISM 7 WITH OR WITHOUT ANOSMIA","HH7"
"146255","HYPOPARATHYROIDISM, SENSORINEURAL DEAFNESS, AND RENAL DISEASE","HDR"
"146300","HYPOPHOSPHATASIA, ADULT","null"
"146500","MULTIPLE SYSTEM ATROPHY 1, SUSCEPTIBILITY TO","MSA1"
"146510","PALLISTER-HALL SYNDROME","PHS"
"147060","HYPER-IgE RECURRENT INFECTION SYNDROME, AUTOSOMAL DOMINANT","null"
"147250","SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR","SMMCI"
"147480","CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY, 1","ICP1"
"147750","IVIC SYNDROME","null"
"147891","ISCHIOCOXOPODOPATELLAR SYNDROME","ICPPS"
"147920","KABUKI SYNDROME 1","KABUK1"
"147950","HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR WITHOUT ANOSMIA","HH2"
"148050","KBG SYNDROME","KBGS"
"148210","KERATITIS-ICHTHYOSIS-DEAFNESS SYNDROME, AUTOSOMAL DOMINANT","null"
"148300","KERATOCONUS 1","KTCN1"
"148350","KERATODERMA, PALMOPLANTAR, WITH DEAFNESS","null"
"148500","TYLOSIS WITH ESOPHAGEAL CANCER","TOC"
"148700","PALMOPLANTAR KERATODERMA I, STRIATE, FOCAL, OR DIFFUSE","PPKS1"
"148820","WAARDENBURG SYNDROME, TYPE 3","WS3"
"149400","HYPEREKPLEXIA, HEREDITARY 1","HKPX1"
"149700","LACRIMAL DUCT DEFECT","LCDD"
"149730","LACRIMOAURICULODENTODIGITAL SYNDROME","LADD"
"150230","TRICHORHINOPHALANGEAL SYNDROME, TYPE II","TRPS2"
"150250","LARSEN SYNDROME","LRS"
"150400","TOOTH AGENESIS, SELECTIVE, 4","STHAG4"
"150699","LEIOMYOMA, UTERINE","UL"
"150800","HEREDITARY LEIOMYOMATOSIS AND RENAL CELL CANCER","HLRCC"
"151050","LENZ-MAJEWSKI HYPEROSTOTIC DWARFISM","LMHD"
"151100","LEOPARD SYNDROME 1","LPRD1"
"151400","LEUKEMIA, CHRONIC LYMPHOCYTIC","CLL"
"151600","NAIL DISORDER, NONSYNDROMIC CONGENITAL, 3","NDNC3"
"151623","LI-FRAUMENI SYNDROME 1","LFS1"
"151660","LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 2","FPLD2"
"152700","SYSTEMIC LUPUS ERYTHEMATOSUS","SLE"
"152950","MICROCEPHALY WITH OR WITHOUT CHORIORETINOPATHY, LYMPHEDEMA, OR MENTAL RETARDATION","MCLMR"
"153100","LYMPHEDEMA, HEREDITARY, IA","LMPH1A"
"153400","LYMPHEDEMA-DISTICHIASIS SYNDROME","null"
"153480","BANNAYAN-RILEY-RUVALCABA SYNDROME","BRRS"
"153550","CHROMOSOME 5q DELETION SYNDROME","null"
"153640","FECHTNER SYNDROME","FTNS"
"153650","EPSTEIN SYNDROME","EPSTNS"
"153670","BERNARD-SOULIER SYNDROME, TYPE A2, AUTOSOMAL DOMINANT","BSSA2"
"153700","MACULAR DYSTROPHY, VITELLIFORM, 2","VMD2"
"154020","HYPOMAGNESEMIA 2, RENAL","HOMG2"
"154400","ACROFACIAL DYSOSTOSIS 1, NAGER TYPE","AFD1"
"154500","TREACHER COLLINS SYNDROME 1","TCS1"
"154700","MARFAN SYNDROME","MFS"
"154780","MARSHALL SYNDROME","MRSHS"
"155100","MAY-HEGGLIN ANOMALY","MHA"
"155255","MEDULLOBLASTOMA","MDB"
"155310","VISCERAL MYOPATHY","VSCM"
"155601","MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 2","CMM2"
"156200","MENTAL RETARDATION, AUTOSOMAL DOMINANT 1","MRD1"
"156240","MESOTHELIOMA, MALIGNANT","MESOM"
"156400","METAPHYSEAL CHONDRODYSPLASIA, JANSEN TYPE","null"
"156500","METAPHYSEAL CHONDRODYSPLASIA, SCHMID TYPE","MCDS"
"156530","METATROPIC DYSPLASIA","null"
"156550","KNIEST DYSPLASIA","null"
"156610","SKIN CREASES, CONGENITAL SYMMETRIC CIRCUMFERENTIAL, 1","CSCSC1"
"157170","HOLOPROSENCEPHALY 2","HPE2"
"157600","MIRROR MOVEMENTS 1","MRMV1"
"157640","PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL DOMINANT 1","PEOA1"
"157800","CARDIOSPONDYLOCARPOFACIAL SYNDROME","CSCF"
"158000","MONILETHRIX","MNLIX"
"158300","ARTHROGRYPOSIS, DISTAL, TYPE 7","DA7"
"158320","MUIR-TORRE SYNDROME","MRTES"
"158330","MULLERIAN APLASIA AND HYPERANDROGENISM","null"
"158350","COWDEN SYNDROME 1","CWS1"
"158580","NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE VIIA","HMN7A"
"158590","NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE IIA","HMN2A"
"158600","SPINAL MUSCULAR ATROPHY, LOWER EXTREMITY-PREDOMINANT, 1, AUTOSOMAL DOMINANT","SMALED1"
"158810","BETHLEM MYOPATHY 1","BTHLM1"
"159000","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1A","LGMD1A"
"159001","MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1B","LGMD1B"
"159550","ATAXIA-PANCYTOPENIA SYNDROME","ATXPC"
"159900","DYSTONIA 11, MYOCLONIC","DYT11"
"159950","SPINAL MUSCULAR ATROPHY WITH PROGRESSIVE MYOCLONIC EPILEPSY","SMAPME"
"160120","EPISODIC ATAXIA, TYPE 1","EA1"
"160150","MYOPATHY, CENTRONUCLEAR, 1","CNM1"
"160500","MYOPATHY, DISTAL, 1","MPD1"
"160565","MYOPATHY, TUBULAR AGGREGATE, 1","TAM1"
"160800","MYOTONIA CONGENITA, AUTOSOMAL DOMINANT","null"
"160900","MYOTONIC DYSTROPHY 1","DM1"
"160980","CARNEY COMPLEX, TYPE 1","CNC1"
"161000","NAEGELI-FRANCESCHETTI-JADASSOHN SYNDROME","NFJS"
"161200","NAIL-PATELLA SYNDROME","NPS"
"161400","NARCOLEPSY 1","NRCLP1"
"161800","NEMALINE MYOPATHY 3","NEM3"
"162000","HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVENILE, 1","HNFJ1"
"162091","SCHWANNOMATOSIS 1","SWNTS1"
"162100","AMYOTROPHY, HEREDITARY NEURALGIC","HNA"
"162200","NEUROFIBROMATOSIS, TYPE I","NF1"
"162210","NEUROFIBROMATOSIS, FAMILIAL SPINAL","null"
"162300","MULTIPLE ENDOCRINE NEOPLASIA, TYPE IIB","MEN2B"
"162350","CEROID LIPOFUSCINOSIS, NEURONAL, 4B, AUTOSOMAL DOMINANT","CLN4B"
"162400","NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IA","HSAN1A"
"162500","NEUROPATHY, HEREDITARY, WITH LIABILITY TO PRESSURE PALSIES","HNPP"
"162830","NEUTROPHILIA, HEREDITARY","null"
"162900","NEVUS, EPIDERMAL","null"
"163200","SCHIMMELPENNING-FEUERSTEIN-MIMS SYNDROME","SFM"
"163800","SICK SINUS SYNDROME 2","SSS2"
"163950","NOONAN SYNDROME 1","NS1"
"164200","OCULODENTODIGITAL DYSPLASIA","ODDD"
"164280","FEINGOLD SYNDROME 1","FGLDS1"
"164300","OCULOPHARYNGEAL MUSCULAR DYSTROPHY","OPMD"
"164400","SPINOCEREBELLAR ATAXIA 1","SCA1"
"164500","SPINOCEREBELLAR ATAXIA 7","SCA7"
"165300","OPTIC ATROPHY 3, AUTOSOMAL DOMINANT","OPA3"
"165500","OPTIC ATROPHY 1","OPA1"
"165720","OSTEOARTHRITIS SUSCEPTIBILITY 1","OS1"
"165800","OSTEOCHONDRITIS DISSECANS, SHORT STATURE, AND EARLY-ONSET OSTEOARTHRITIS","OD"
"166200","OSTEOGENESIS IMPERFECTA, TYPE I","OI1"
"166210","OSTEOGENESIS IMPERFECTA, TYPE II","OI2"
"166220","OSTEOGENESIS IMPERFECTA, TYPE IV","OI4"
"166250","OSTEOGLOPHONIC DYSPLASIA","OGD"
"166260","GNATHODIAPHYSEAL DYSPLASIA","GDD"
"166300","MULTICENTRIC CARPOTARSAL OSTEOLYSIS SYNDROME","MCTO"
"166350","OSSEOUS HETEROPLASIA, PROGRESSIVE","POH"
"166600","OSTEOPETROSIS, AUTOSOMAL DOMINANT 2","OPTA2"
"166700","BUSCHKE-OLLENDORFF SYNDROME","BOS"
"167030","NEPHROLITHIASIS, CALCIUM OXALATE","CAON"
"167200","PACHYONYCHIA CONGENITA 1","PC1"
"167210","PACHYONYCHIA CONGENITA 2","PC2"
"167250","PAGET DISEASE OF BONE 3","PDB3"
"167320","INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA 1","IBMPFD1"
"167400","PAROXYSMAL EXTREME PAIN DISORDER","null"
"168000","PARAGANGLIOMAS 1","PGL1"
"168300","PARAMYOTONIA CONGENITA OF VON EULENBURG","PMC"
"168500","PARIETAL FORAMINA 1","PFM1"
"168600","PARKINSON DISEASE, LATE-ONSET","PD"
"168601","PARKINSON DISEASE 1, AUTOSOMAL DOMINANT","PARK1"
"168605","PERRY SYNDROME","null"
"169100","CHAR SYNDROME","CHAR"
