"pid","description","tid","des_ch"
"100","Multiple small luminae with a sieve-like appearance on microscopic examination","33","在显微镜检查中具有筛状外观的多个小型灯具"
"101","Mucous membrane ulceration (in some patients)","33","粘膜溃疡（部分患者）"
"102","Granulation tissue (in some patients)","33","肉芽组织（部分患者）"
"103","Bloody diarrhea","33","血性腹泻"
"104","Apoptotic enteropathy","33","凋亡性肠病"
"105","Focal scarring","33","局灶性瘢痕"
"106","Disorganized epithelial architecture","33","紊乱的上皮结构"
"107","Tufting","33","簇绒"
"108","Loss of apical mucin","33","顶端粘蛋白丢失"
"109","Glandular distortion and necrosis","33","腺体扭曲和坏死"
"110","Crypt abscesses","33","地穴脓肿"
"111","Inflammatory infiltrate in lamina propria","33","固有层炎症性浸润"
"112","Psoriasis (rare)","50",
"113","Onychopathy (rare)","53",
"114","Transient alopecia in early childhood (in some patients)","54",
"115","Autoimmune thyroiditis (rare)","62",
"116","Diabetes, type 1 (rare)","62",
"117","Autoimmune hemolytic anemia (rare)","63",
"118","IgM immunodeficiency (in some patients)","64",
"119","Immunodeficiency, severe combined (in some patients)","64",
"120","Thymus hypoplasia (in some patients)","64",
"121","Autoimmunity (rare)","64",
"122","Polyhydramnios","68",
"123","Fatal in first few months of life in most cases","73",
"124","Intrahepatic cholestasis, episodic, recurrent","29","肝内胆汁淤积，发作，反复发作"
"125","Jaundice, episodic","29","黄疸，情节"
"126","Hepatomegaly","29","肝肿大"
"127","Progression to end-stage liver disease does not occur","29","不会发生进展为终末期肝病"
"128","Pancreatitis","30","胰腺炎"
"129","Jaundice, episodic","50",
"130","Pruritus, episodic","50",
"131","Normal or mildly increased serum gamma-GGT ","72",
"132","Conjugated hyperbilirubinemia","72",
"133","Increased serum bile acids","72",
"134","Disease-free intervals can last weeks to years during which there is no clinical or biochemical evidence of cholestasis","73",
"135","Variable age at onset, range from infancy to adulthood","73",
"136","Variable frequency and severity","73",
"137","Allelic disorder to progressive familial intrahepatic cholestasis-1 (PFIC1,","73",
"138","Allelic disorder to intrahepatic cholestasis of pregnancy (ICP,","73",
"139","Short stature","2",
"140","Height in childhood <5th percentile","2",
"141","Weight in childhood <5th percentile","3",
"142","Postnatal growth retardation","4",
"143","Metopic ridging","6","正面节奏"
"144","Trigonocephaly","6","Trigunosefli"
"145","Microcephaly","6","小头畸形"
"146","Long philtrum","7","长的人中"
"147","Prominent/full/wide cheeks","7","突出/全脸/宽脸颊"
"148","Pointed chin","7","尖下巴"
"149","Retrognathia (in some patients)","7","Retrognathia（在一些患者中）"
"150","Low-set ears","8","低耳朵"
"151","Overfolded helices","8","折叠的螺旋"
"152","Abnormally shaped ears","8","耳朵形状异常"
"153","Hearing loss, sensorineural (in some patients)","8","听力丧失，感觉神经（某些患者）"
"154","Ptosis","9","上睑下垂"
"155","Hypertelorism","9","过远"
"156","Prominent epicanthal folds","9","突出的epicanthal褶皱"
"157","Iris coloboma (in some patients)","9","虹膜缺损（某些患者）"
"158","Chorioretinal coloboma","9","脉络膜视网膜病变"
"159","Microphthalmia (rare)","9","微小症（罕见）"
"160","Arched eyebrows (rare)","9","拱形眉毛（罕见）"
"161","Long palpebral fissures","9","长睑裂"
"162","Broad nasal bridge","10","广泛的鼻梁"
"163","Short nose","10","短鼻子"
"164","Upturned nose","10","上翘的鼻子"
"165","Large, squared nose tip","10","大而方形的鼻尖"
"166","Prominent nasal root on profile","10","突出的鼻根在配置文件上"
"167","Thin upper lip","11","上唇薄"
"168","Large mouth","11","大嘴巴"
"169","Thick/prominent/everted lower lip","11","厚/突出/外翻下唇"
"170","Cleft lip/palate (in some patients)","11","唇裂/腭裂（部分患者）"
"171","Bicuspid aortic valve","15","Bicuspid主动脉瓣"
"172","Aortic stenosis","15","主动脉瓣狭窄"
"173","Patent ductus arteriosus","16","动脉导管未闭"
"174","Small penis","35","小阴茎"
"175","Cryptorchidism","37","隐睾"
"176","Kyphosis/scoliosis (in some patients)","44","脊柱后凸/脊柱侧凸（部分患者）"
"177","Pectus (in some patients)","44","Pectus（某些患者）"
"178","Limited extension of knees and elbows (in some patients)","46","膝盖和肘部伸展受限（部分患者）"
"179","Duplicated hallux (rare)","48","重复拇趾（罕见）"
"180","Low posterior hair line","54",
"181","Developmental delay","57","发育迟缓"
"182","Intellectual disability","57","智力残疾"
"183","Hypotonia","57","肌张力低下"
"184","Seizures","57","癫痫发作"
"185","Agenesis of corpus callosum","57","胼um体的发育"
"186","Focal pachygyria","57","焦点pachygyria"
"187","Lissencephaly","57","无脑回畸形"
"188","Band heterotopias (in some patients)","57","带异位（在一些患者中）"
"189","Enlarged ventricles (in some patients)","57","扩大的心室（在一些患者中）"
"190","Spasticity of lower limbs (in some patients)","57","下肢痉挛（某些患者）"
"191","Chromosome inversion - inv2(p12q14) in 2 patients","72",
"192","Feeding refusal, especially aversion to protein","33","喂食拒绝，特别是对蛋白质的厌恶"
"193","Vomiting","33","呕吐"
"194","Lethargy","57","昏睡"
"195","Coma","57","昏迷"
"196","Cerebellar hemorrhage (rare)","57","小脑出血（罕见）"
"197","Metabolic acidosis","61",
"198","Ketoacidosis","61",
"199","Dehydration","61",
"200","Leukopenia","63",
"201","Pancytopenia","63",
"202","Hypoplastic bone marrow","63",
"203","Isovalericacidemia","72",
"204","Isovalericaciduria","72",
"205","Isovalerylglycinuria","72",
"206","Deficiency of mitochondrial isovaleryl-CoA dehydrogenase in fibroblasts","72",
"207","Approximately 50% of cases are acute, severe neonatal illness often with rapid death and 50% are chronic episodic with asymptomatic intervals","73",
"208","Odor of 'sweaty feet'","73",
"209","Micrognathia","7","小颌畸形"
"210","Microphthalmia","9","小眼"
"211","Microcornea","9","Microcornea"
"212","Anterior chamber defects","9","前房缺陷"
"213","Sclerocornea","9","Sclerocornea"
"214","Iris coloboma","9","虹膜疣"
"215","Optic nerve hypoplasia","9","视神经发育不全"
"216","Peters anomaly","9","彼得斯异常"
"217","Tortuous retinal vessels","9","曲折的视网膜血管"
"218","Cataracts","9","白内障"
"219","Deep-set eyes","9","眼睛深陷"
"220","High nasal bridge","10","高鼻梁"
"221","Short columella","10","短小柱"
"222","Wide mouth","11","大嘴巴"
"223","Cleft palate","11","腭裂"
"224","Persistent foramen ovale","15","持续的卵圆孔"
"225","Myopathic changes","15","肌病变了"
"226","Hypoplastic muscular tissue","15","发育不良的肌肉组织"
"227","Small cardiomyocytes with little cytoplasm","15","小的心肌细胞，细胞质少"
"228","Accessory spleen (1 patient)","32","附件脾（1例患者）"
"229","Duodenal atresia","33","十二指肠闭锁"
"230","Jejunal atresia","33","空肠闭锁"
"231","Intestinal atresia","33","肠闭锁"
"232","Intestinal malrotation","33","肠旋转不良"
"233","Renal hypodysplasia","39","肾脏发育不良"
"234","Hydronephrosis","39","肾积水"
"235","Polydactyly, preaxial (1 patient)","47","Polydactyly，preaxial（1病人）"
"236","Learning disabilities (in some patients)","57","学习障碍（在一些患者中）"
"237","Hydrocephalus","57","脑积水"
"238","Agenesis of the corpus callosum","57","胼um体的发育"
"239","Cerebellar hypoplasia","57","小脑发育不全"
"240","Onset in utero","73",
"241","Early childhood lethality may occur","73",
"242","Highly variable phenotype","73",
"243","Recurrent sinopulmonary infections","17","复发性肺动脉感染"
"244","Asthma","20","哮喘"
"245","Eczema, severe","50",
"246","Atopic dermatitis","50",
"247","Skin abscesses, recurrent","50",
"248","Increased neurologic sequelae of infections (rare)","57","神经系统感染后遗症增加（罕见）"
"249","Hemiplegia (rare)","57","偏瘫（罕见）"
"250","Ischemic infarction (rare)","57","缺血性梗死（罕见）"
"251","Subarachnoid hemorrhage (rare)","57","蛛网膜下腔出血（罕见）"
"252","Recurrent bacterial infections","64",
"253","Recurrent viral infections","64",
"254","Recurrent fungal infections","64",
"255","Impaired T cell immunity","64",
"256","Impaired T cell proliferation and activation","64",
"257","Food allergies","64",
"258","Environmental allergies","64",
"259","Increased susceptibility to carcinomas, especially cancers related to cutaneous viral infections","65",
"260","Increased serum IgE","72",
"261","Eosinophilia","72",
"262","Decreased T cells","72",
"263","Decreased B cells","72",
"264","Decreased natural killer cells","72",
"265","Decreased serum IgM","72",
"266","Onset in infancy","73",
"267","Early death may occur due to infection","73",
"268","Distinct disorder from autosomal dominant hyper IgE syndrome ","73",
"269","Low birth weight","3",
"270","Failure to thrive","4",
"271","Midline skin dimples over anterior/posterior fontanelles","6","在前/后囟门上的中线皮肤凹陷"
"272","Hearing loss, sensorineural","8","听力丧失，感觉神经"
"273","Cystic dilatation of cochlea and vestibulum","8","耳蜗和前庭囊状扩张"
"274","Strabismus","9","斜视"
"275","Cutaneolacrimal fistulae","9","皮肤泪液瘘"
"276","Lacrimal puncta aplasia","9","泪腺间断的发育不全"
"277","Hypoplastic alae nasi","10","发育不全鼻翼"
"278","Beaked nose","10","喙鼻子"
"279","Hypoplastic deciduous teeth","12","发育不良的乳牙"
"280","Absent permanent teeth","12","没有恒牙"
"281","Atrial septal defect","15","房间隔缺损"
"282","Ventricular septal defect","15","室间隔缺损"
"283","Dilated cardiomyopathy (rare)","15","扩张型心肌病（罕见）"
"284","Situs inversus","15","Inversus网站"
"285","Small nipples","25","小乳头"
"286","Absent areolae","25","没有areolae"
"287","Liver failure (1 patient)","29","肝功能衰竭（1例患者）"
"288","Giant cell hepatocytes (1 patient)","29","巨细胞肝细胞（1例患者）"
"289","Cholestasis (1 patient)","29","胆汁淤积（1例患者）"
"290","Fibrosis (1 patient)","29","纤维化（1名患者）"
"291","Exocrine pancreatic insufficiency","30","外分泌胰腺功能不全"
"292","Imperforate anus","33","肛门无力"
"293","Anteriorly placed anus","33","前肛门"
"294","Micropenis","35","阴茎"
"295","Hypospadias","35","尿道下裂"
"296","Clitoromegaly","36","阴蒂"
"297","Double vagina","38","双阴道"
"298","Septate vagina","38","隔膜阴道"
"299","Urethrovaginal fistulae","38","尿道阴道瘘"
"300","Calicectasis","39","Calicectasia"
"301","Delayed bone age","42","骨龄延迟"
"302","Joint laxity","42","联合松弛"
"303","Fifth finger clinodactyly","47","第五指紧握"
"304","Transverse palmar crease","47","横向手掌折痕"
"305","Cafe-au-lait spots","50",
"306","Scalp aplasia cutis congenita","50",
"307","Transverse palmar crease","50",
"308","Blonde, sparse scalp hair","54",
"309","Frontal upsweep","54",
"310","Extension of lateral hairline onto forehead","54",
"311","'Unruly' scalp hair","54",
"312","Anasarca","55","全身水肿"
"313","Edema (hands and feet)","55","水肿（手脚）"
"314","Mental retardation (2/3 patients)","57","精神发育迟滞（2/3病人）"
"315","Hypothyroidism (30% patients)","62",
"316","Diabetes mellitus","62",
"317","Low total serum protein","72",
"318","Hypocalcemia","72",
"319","Death in childhood secondary to malabsorption","73",
"320","Incidence of 1 in 250,000 births","73",
"321","Hearing loss (rare)","8","听力损失（罕见）"
"322","Hyposmia/anosmia (in some patients)","10","嗅觉减退/嗅觉减退（某些患者）"
"323","Pectus excavatum","23","漏斗胸"
"324","Delayed or absent thelarche","25","乳房初发育延迟或缺席"
"325","Cryptorchidism","35","隐睾"
"326","Primary amenorrhea","38","原发性闭经"
"327","Hyperlaxity of digits (rare)","47","数字超灵敏度（罕见）"
"328","Pes planus","48","Pes计划"
"329","Fibrous dysplasia (rare)","55","纤维发育不良（罕见）"
"330","Synkinesia","57","联带运动"
"331","Seizures (rare)","57","癫痫发作（罕见）"
"332","Hypogonadotropic hypogonadism","62",
"333","Delayed or absent puberty","62",
"334","Low to undetectable gonadotropin levels","62",
"335","Low testosterone level","62",
"336","Low estradiol level","62",
"337","Incomplete penetrance","73",
"338","Some patients experience later reversal of hypogonadotropic hypogonadism","73",
"339","Phenotype may be oligogenic in some patients who carry mutations in more than one HH-associated gene","73",
"340","Poorly aerated mastoids","6","乳房通气不良"
"341","Absence of frontal sinuses","6","没有额窦"
"342","Chronic sinusitis","6","慢性鼻窦炎"
"343","Conductive deafness","8","传导性耳聋"
"344","Chronic otitis media","8","慢性中耳炎"
"345","Corneal abnormalities","9","角膜异常"
"346","Rhinitis","10","鼻炎"
"347","Nasal polyps","10","鼻息肉"
"348","Dextrocardia","15","右位心"
"349","Bronchiectasis","20","支气管扩张"
"350","Absent or abnormal dynein arms of sperm and respiratory epithelial cilia by electron microscopy","20","通过电子显微镜观察精子和呼吸道上皮纤毛缺乏或异常的动力蛋白臂"
"351","Pneumonia","21","肺炎"
"352","Situs inversus","27","Inversus网站"
"353","Asplenia","32","无脾"
"354","Immotile sperm","37","不动的精子"
"355","Absent or abnormal dynein arms of sperm and respiratory epithelial cilia by electron microscopy","37","通过电子显微镜观察精子和呼吸道上皮纤毛缺乏或异常的动力蛋白臂"
"356","Infertility","37","不孕不育"
"357","Headaches","57","头痛"
"358","Communicating hydrocephalus","57","沟通性脑积水"
"359","Immotile cilia","72",
"360","Genetic heterogeneity","73",
"361","Approximately 50% of patients have situs inversus","73",
"362","Brachycephaly","6","Brachycephaly"
"363","Flat philtrum","7","平人中"
"364","Long face","7","拉长着脸"
"365","Narrow face","7","狭窄的脸"
"366","Preauricular tags","8","耳前标签"
"367","Blepharophimosis","9","睑裂"
"368","Upslanting palpebral fissures","9","俯卧撑睑裂"
"369","Telecanthus","9","Telecanthus"
"370","Epicanthal folds","9","Epicanthal褶皱"
"371","Sparse eyebrows","9","稀疏的眉毛"
"372","Nystagmus","9","眼球震颤"
"373","Pale optic disc","9","苍白的视盘"
"374","High-arched palate","11","高拱形的口感"
"375","Diastema","12","纵裂"
"376","Caries","12","龋齿"
"377","Neonatal respiratory distress","17","新生儿呼吸窘迫"
"378","Laryngeal stridor","19","喉部喘鸣"
"379","Bell-shaped chest","23","钟形胸部"
"380","Severe constipation","33","严重的便秘"
"381","Ovoid vertebrae","44","卵巢椎体"
"382","Long, thin hands","47","细长的双手"
"383","Transverse palmar creases","47","横向手掌褶皱"
"384","Long, thin feet","48","长而瘦的脚"
"385","Metatarsus varus","48","跖内翻"
"386","Sparse eyebrows","54",
"387","Mental retardation","57","精神发育迟滞"
"388","Short stature, proportionate","2",
"389","Birth length <3rd percentile","2",
"390","Birth weight <2,500gm","3",
"391","Intrauterine growth failure","4",
"392","Delayed anterior fontanelle closure","6","延迟前囟门闭合"
"393","Broad cheeks","7","宽阔的脸颊"
"394","Dental caries","12","龋齿"
"395","Thin, long clavicles","24","细长的锁骨"
"396","Thin ribs","24","细肋骨"
"397","Poorly ossified skull bones","43","僵硬的骨头骨头"
"398","Absent diploic space","43","缺席外交空间"
"399","Calvarial osteosclerosis","43","颅骨骨质疏松症"
"400","Medullary stenosis of tubular bones","46","管状骨髓质狭窄"
"401","Thin long bones","46","细长骨头"
"402","Internal cortical thickening","46","内部皮质增厚"
"403","Small hands","47","小手"
"404","Small feet","48","小脚"
"405","Tetany","57","手足搐搦"
"406","Hypocalcemic seizure","57","低血钙性癫痫发作"
"407","Neonatal hypoparathyroidism","62",
"408","Low parathyroid hormone","62",
"409","Low to low-normal magnesium","72",
"410","Allelic to hypoparathyroidism-retardation-dysmorphism syndrome ","73",
"411","Severe, early-onset periodontitis","11","严重的，早发性牙周炎"
"412","Premature tooth loss (both primary and secondary dentition)","12","过早牙齿脱落（初级和次级牙列）"
"413","Atrophy of alveolar ridges","12","牙槽嵴萎缩"
"414","Hyperkeratosis of palms and soles","50",
"415","Dural and choroid plexus calcifications","57","硬脑膜和脉络丛钙化"
"416","Severe, early-onset periodontitis","12","严重的，早发性牙周炎"
"417","Alveolar bone destruction","12","牙槽骨破坏"
"418","Premature tooth","12","早产牙"
"419","Arachnodactyly","47","Arachnodactyly"
"420","Acroosteolysis","47","Acroosteolysis"
"421","Tapered, pointed distal phalanges","47","锥形尖尖远端指骨"
"422","Claw-like volar curve","47","爪状掌侧曲线"
"423","Congenital palmoplantar keratosis","50",
"424","Recurrent pyogenic skin infections","50",
"425","Onychogryposis","53",
"426","All cases occur in a Jewish religious isolate originally from Cochin, India","73",
"427","Allelic to Papillon-Lefevre syndrome ","73",
"428","Skin manifestations are more severe and of later onset than Papillon-Lefevre syndrome","73",
"429","Periodontium is less severely affected than in Papillon-Lefevre syndrome","73",
"430","Stature below 25th percentile","2",
"431","Deep philtrum","7","深人中"
"432","Midface hypoplasia, mild","7","中面发育不全，轻度"
"433","Hearing loss (sensorineural, mixed, and conductive)","8","听力损失（感觉神经，混合和传导）"
"434","Large, prominent pinnae","8","大而突出的羽片"
"435","Pale, stiff pinnae","8","远离，躲在后面"
"436","Progressive cartilaginous ossification of pinnae","8","耳廓的进行性软骨骨化"
"437","Recurrent episodes of otitis media","8","反复发作的中耳炎"
"438","Small alae nasi","10","小麻烦"
"439","Cartilaginous ossification of nose","10","软骨骨化的鼻子"
"440","Pulmonary artery hypoplasia","16","肺动脉发育不全"
"441","Peripheral pulmonary stenosis","16","周围性肺动脉狭窄"
"442","Chronic sinusitis","18","慢性鼻窦炎"
"443","Cartilaginous ossification of larynx","19","喉部软骨骨化"
"444","Cartilaginous ossification of trachea and bronchi","20","气管和支气管的软骨骨化"
"445","Recurrent bronchitis","20","复发性支气管炎"
"446","Cartilaginous ossification of rib","24","肋骨的软骨骨化"
"447","Abnormal cartilage ossification (nose, pinnae, larynx, epiglottis, trachea, bronchial rings, costochondral junctions)","42","软骨骨化异常（鼻，耳廓，喉，会厌，气管，支气管环，肋软骨交界处）"
"448","Epiphyseal stippling (infancy)","46","骨骺点彩（婴儿期）"
"449","Variable shortening of terminal phalanges (brachytelephalangy)","47","终末指骨的可变缩短（brachytelephalangic）"
"450","Premature fusion of phalangeal epiphyses","47","早期融合指骨骨骺"
"451","Short thumbs","47","短暂的拇指"
"452","Interdigital webbing, mild","47","Interdigital织带，温和"
"453","Short halluces","48","短暂的"
"454","Mental retardation, mild","57","精神发育迟滞，轻度"
"455","Cerebral calcifications","57","脑钙化"
"456","Nasal speech","60",
"457","Increased risk of spontaneous abortion","71",
"458","Deafness","8","聋"
"459","Abnormal brainstem auditory evoked potentials (BAEP)","8","脑干听觉诱发电位异常（BAEP）"
"460","Blindness","9","失明"
"461","Optic atrophy","9","视神经萎缩"
"462","Abnormal flash visual evoked potentials (VEP)","9","异常闪光视觉诱发电位（VEP）"
"463","Hyperirritability","57","应激性"
"464","Hypersensitive to stimuli","57","对刺激过敏"
"465","Mental deterioration","57","精神恶化"
"466","Neurodegeneration","57","神经退行性疾病"
"467","Developmental regression","57","发展回归"
"468","Progressive spasticity","57","渐进性痉挛"
"469","Hyperactive deep tendon reflexes in early stage","57","早期多动性深腱反射"
"470","Decerebrate posturing","57","Decerebrate姿势"
"471","Hypertonia in early stage","57","早期高血压"
"472","Hypotonia in later stages","57","后期的低血压"
"473","Diffuse cerebral atrophy on CT and MRI","57","CT和MRI弥漫性脑萎缩"
"474","Motor deterioration","57","电机老化"
"475","Abnormal EEG","57","脑电图异常"
"476","'Globoid multinucleated cells' in brain tissue","57","脑组织中的“球状多核细胞”"
"477","Loss of myelin and oligodendroglia","57","髓鞘和少突神经胶质细胞的丧失"
"478","Demyelination","57","脱髓鞘"
"479","Sensorimotor peripheral neuropathy","58","感觉运动周围神经病变"
"480","Diffuse demyelinating neuropathy","58","弥漫性脱髓鞘神经病变"
"481","Decreased nerve conduction velocities","58","降低神经传导速度"
"482","Elevated cerebrospinal fluid (CSF) protein","72",
"483","Galactocerebroside beta-galactosidase deficiency in serum, leukocytes, and fibroblasts","72",
"484","Episodic fever","73",
"485","Four clinical forms of Krabbe disease","73",
"486","Infantile form has onset within first 6 months of life","73",
"487","Infantile form accounts for 90% of cases","73",
"488","Infantile form usually leads to death by age 2 years","73",
"489","Late infantile form has onset between 19 months and 4 years","73",
"490","Juvenile form has onset between 4 and 19 years","73",
"491","Adult form onset has after 20 years","73",
"492","Incidence of 1 in 100,000","73",
"493","Exercise-induced muscle cramping","55","运动引起的肌肉痉挛"
"494","Exercise-induced muscle stiffness","55","运动引起的肌肉僵硬"
"495","Exercise-induced muscle fatigue","55","运动引起的肌肉疲劳"
"496","Symptoms may be induced by heat","55","症状可能由热引起"
"497","Decreased lactate clearance from muscle after exercise (reported in 1 patient)","55","运动后肌肉中乳酸清除率降低（1名患者报告）"
"498","Normal muscle biopsy","55","正常肌肉活检"
"499","Normal EMG","55","正常肌电图"
"500","Increased serum creatine kinase","72",
"501","Decreased erythrocyte lactate clearance (transport), 40 to 50% of normal values","72",
"502","Mild phenotype","73",
"503","Mildly progressive","73",
"504","Symptoms are not apparent at rest","73",
"505","Saccade initiation failure","9","Saccade开始失败"
"506","Oculomotor apraxia","9","动眼神经失用症"
"507","Psychomotor retardation","57","精神运动迟缓"
"508","Hypotonia, neonatal","57","Hypotonia，新生儿"
"509","Ataxia","57","共济失调"
"510","Gross motor delay","57","电机总延迟"
"511","Fine motor delay","57","精细电机延迟"
"512","Drooling","57","流口水"
"513","Poor speech","57","讲话不好"
"514","Dystonia, episodic","57","肌张力障碍，发作"
"515","Jerky head movements","57","生涩的头部动作"
"516","Hyperreflexia","57","反射亢进"
"517","Choreoathetoid movements","57","Choreoathetoid运动"
"518","MRI shows globus pallidus signal abnormalities","57","MRI显示苍白球苍蝇信号异常"
"519","Lactic acidosis, may be mild","61",
"520","Serum and CSF lactate may be increased","72",
"521","Decreased activity of the pyruvate dehydrogenase complex (PDH)","72",
"522","Decreased activity of the E2 subunit (lipoyl transacetylase,","72",
"523","Decreased levels of the E2 subunit protein","72",
"524","Very rare","73",
"525","Frontal metopic ridge","6","正面骑马"
"526","Abnormal ocular movements","9","眼球运动异常"
"527","High palate","11","高腭"
"528","Pectus excavatum (1 patient)","23","漏斗胸（1名患者）"
"529","Psychomotor delay","57","精神运动延迟"
"530","Pyramidal hypertonia","57","锥体性高血压"
"531","Spastic paraplegia","57","痉挛性截瘫"
"532","Spastic quadriplegia","57","痉挛性四肢瘫痪"
"533","Unsteady gait","57","不稳定的步伐"
"534","Poor fine and gross motor coordination","57","精细和粗大的运动协调性差"
"535","Dystonia","57","张力障碍"
"536","Basal ganglia lucencies","57","基底神经节的渊源"
"537","Subependymal cysts","57","室管膜下囊肿"
"538","Corpus callosum agenesis, partial","57","胼call体发育不全，偏瘫"
"539","Lactic acidosis","61",
"540","Lacticacidemia","72",
"541","Increased serum pyruvate","72",
"542","Increased serum alanine","72",
"543","Decreased activity of the pyruvate dehydrogenase (PDH) complex","72",
"544","Decreased levels of component X protein of the PDH complex","72",
"545","Onset at birth or in early childhood","73",
"546","Variable severity","73",
"547","Phenotypic similarities to Leigh syndrome ","73",
"548","Patients may or may not have dysmorphic features","73",
"549","Poor growth","4",
